Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=1250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        19493.00          ---          ---         0.73009         0.52700         4.38300         7.99900      1311.39 
Gets       194887.74     77790.72    117097.02         0.71230         0.51100         4.31900         7.83900      9362.86 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     214380.73     77790.72    117097.02         0.71392         0.51100         4.31900         7.87100     10674.25 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.039        0.000
SET       0.255        5.000
SET       0.311       10.000
SET       0.343       15.000
SET       0.359       20.000
SET       0.375       25.000
SET       0.399       30.000
SET       0.415       35.000
SET       0.447       40.000
SET       0.479       45.000
SET       0.527       50.000
SET       0.559       52.500
SET       0.583       55.000
SET       0.615       57.500
SET       0.639       60.000
SET       0.663       62.500
SET       0.687       65.000
SET       0.703       67.500
SET       0.727       70.000
SET       0.751       72.500
SET       0.783       75.000
SET       0.807       76.250
SET       0.831       77.500
SET       0.863       78.750
SET       0.887       80.000
SET       0.927       81.250
SET       0.959       82.500
SET       0.999       83.750
SET       1.031       85.000
SET       1.063       86.250
SET       1.103       87.500
SET       1.127       88.125
SET       1.151       88.750
SET       1.191       89.375
SET       1.231       90.000
SET       1.271       90.625
SET       1.319       91.250
SET       1.375       91.875
SET       1.415       92.500
SET       1.471       93.125
SET       1.543       93.750
SET       1.591       94.062
SET       1.639       94.375
SET       1.703       94.688
SET       1.767       95.000
SET       1.823       95.312
SET       1.911       95.625
SET       2.023       95.938
SET       2.143       96.250
SET       2.255       96.562
SET       2.431       96.875
SET       2.511       97.031
SET       2.607       97.188
SET       2.719       97.344
SET       2.831       97.500
SET       2.943       97.656
SET       3.071       97.812
SET       3.215       97.969
SET       3.343       98.125
SET       3.503       98.281
SET       3.663       98.438
SET       3.759       98.516
SET       3.855       98.594
SET       3.935       98.672
SET       4.031       98.750
SET       4.127       98.828
SET       4.255       98.906
SET       4.351       98.984
SET       4.511       99.062
SET       4.639       99.141
SET       4.767       99.219
SET       4.863       99.258
SET       4.927       99.297
SET       5.023       99.336
SET       5.087       99.375
SET       5.183       99.414
SET       5.311       99.453
SET       5.407       99.492
SET       5.503       99.531
SET       5.663       99.570
SET       5.791       99.609
SET       5.887       99.629
SET       5.951       99.648
SET       6.079       99.668
SET       6.175       99.688
SET       6.271       99.707
SET       6.399       99.727
SET       6.495       99.746
SET       6.623       99.766
SET       6.751       99.785
SET       6.943       99.805
SET       7.039       99.814
SET       7.135       99.824
SET       7.199       99.834
SET       7.327       99.844
SET       7.423       99.854
SET       7.519       99.863
SET       7.615       99.873
SET       7.743       99.883
SET       7.871       99.893
SET       8.031       99.902
SET       8.095       99.907
SET       8.191       99.912
SET       8.319       99.917
SET       8.383       99.922
SET       8.511       99.927
SET       8.639       99.932
SET       8.767       99.937
SET       8.895       99.941
SET       9.023       99.946
SET       9.215       99.951
SET       9.279       99.954
SET       9.343       99.956
SET       9.407       99.958
SET       9.471       99.961
SET       9.535       99.963
SET       9.599       99.966
SET       9.727       99.968
SET       9.791       99.971
SET       9.855       99.973
SET       9.983       99.976
SET      10.047       99.977
SET      10.047       99.978
SET      10.111       99.979
SET      10.175       99.980
SET      10.239       99.982
SET      10.303       99.983
SET      10.367       99.984
SET      10.495       99.985
SET      10.623       99.987
SET      10.687       99.988
SET      10.751       99.988
SET      10.751       99.989
SET      10.815       99.990
SET      10.815       99.990
SET      10.879       99.991
SET      10.943       99.991
SET      11.007       99.992
SET      11.199       99.993
SET      11.199       99.993
SET      11.327       99.994
SET      11.327       99.994
SET      11.327       99.995
SET      11.391       99.995
SET      11.519       99.995
SET      11.519       99.995
SET      11.583       99.996
SET      11.583       99.996
SET      11.711       99.996
SET      11.839       99.997
SET      11.903       99.997
SET      11.967       99.997
SET      11.967       99.997
SET      12.159       99.997
SET      12.159       99.998
SET      12.351       99.998
SET      12.607       99.998
SET      12.799       99.998
SET      12.863       99.998
SET      12.927       99.998
SET      12.927       99.998
SET      12.927       99.999
SET      12.927       99.999
SET      12.991       99.999
SET      12.991       99.999
SET      12.991       99.999
SET      12.991       99.999
SET      13.695       99.999
SET      13.695       99.999
SET      13.695       99.999
SET      13.695       99.999
SET      13.695       99.999
SET      13.695       99.999
SET      13.951       99.999
SET      13.951       99.999
SET      13.951       99.999
SET      13.951       99.999
SET      14.399      100.000
SET      14.399      100.000
SET      14.399      100.000
SET      14.399      100.000
SET      14.399      100.000
SET      14.399      100.000
SET      14.975      100.000
SET      14.975      100.000
SET      14.975      100.000
SET      14.975      100.000
SET      14.975      100.000
SET      14.975      100.000
SET      14.975      100.000
SET      14.975      100.000
SET      14.975      100.000
SET      14.975      100.000
SET      17.279      100.000
SET      17.279      100.000
---
GET       0.039        0.000
GET       0.247        5.000
GET       0.311       10.000
GET       0.335       15.000
GET       0.351       20.000
GET       0.367       25.000
GET       0.391       30.000
GET       0.407       35.000
GET       0.431       40.000
GET       0.463       45.000
GET       0.511       50.000
GET       0.535       52.500
GET       0.559       55.000
GET       0.591       57.500
GET       0.623       60.000
GET       0.647       62.500
GET       0.671       65.000
GET       0.695       67.500
GET       0.711       70.000
GET       0.735       72.500
GET       0.759       75.000
GET       0.783       76.250
GET       0.799       77.500
GET       0.831       78.750
GET       0.855       80.000
GET       0.895       81.250
GET       0.927       82.500
GET       0.967       83.750
GET       1.007       85.000
GET       1.047       86.250
GET       1.079       87.500
GET       1.103       88.125
GET       1.127       88.750
GET       1.159       89.375
GET       1.191       90.000
GET       1.239       90.625
GET       1.287       91.250
GET       1.343       91.875
GET       1.391       92.500
GET       1.439       93.125
GET       1.511       93.750
GET       1.559       94.062
GET       1.607       94.375
GET       1.663       94.688
GET       1.735       95.000
GET       1.799       95.312
GET       1.871       95.625
GET       1.975       95.938
GET       2.095       96.250
GET       2.223       96.562
GET       2.383       96.875
GET       2.479       97.031
GET       2.559       97.188
GET       2.671       97.344
GET       2.783       97.500
GET       2.895       97.656
GET       3.023       97.812
GET       3.151       97.969
GET       3.279       98.125
GET       3.439       98.281
GET       3.599       98.438
GET       3.679       98.516
GET       3.775       98.594
GET       3.871       98.672
GET       3.967       98.750
GET       4.063       98.828
GET       4.191       98.906
GET       4.287       98.984
GET       4.415       99.062
GET       4.575       99.141
GET       4.703       99.219
GET       4.767       99.258
GET       4.863       99.297
GET       4.959       99.336
GET       5.055       99.375
GET       5.151       99.414
GET       5.247       99.453
GET       5.343       99.492
GET       5.471       99.531
GET       5.631       99.570
GET       5.759       99.609
GET       5.823       99.629
GET       5.919       99.648
GET       6.015       99.668
GET       6.111       99.688
GET       6.207       99.707
GET       6.303       99.727
GET       6.431       99.746
GET       6.559       99.766
GET       6.687       99.785
GET       6.815       99.805
GET       6.911       99.814
GET       7.007       99.824
GET       7.071       99.834
GET       7.167       99.844
GET       7.263       99.854
GET       7.359       99.863
GET       7.487       99.873
GET       7.615       99.883
GET       7.743       99.893
GET       7.871       99.902
GET       7.967       99.907
GET       8.063       99.912
GET       8.127       99.917
GET       8.255       99.922
GET       8.319       99.927
GET       8.447       99.932
GET       8.575       99.937
GET       8.703       99.941
GET       8.831       99.946
GET       8.959       99.951
GET       9.023       99.954
GET       9.151       99.956
GET       9.215       99.958
GET       9.343       99.961
GET       9.407       99.963
GET       9.471       99.966
GET       9.599       99.968
GET       9.663       99.971
GET       9.791       99.973
GET       9.919       99.976
GET       9.983       99.977
GET      10.047       99.978
GET      10.111       99.979
GET      10.175       99.980
GET      10.239       99.982
GET      10.303       99.983
GET      10.367       99.984
GET      10.431       99.985
GET      10.495       99.987
GET      10.559       99.988
GET      10.623       99.988
GET      10.687       99.989
GET      10.687       99.990
GET      10.751       99.990
GET      10.815       99.991
GET      10.815       99.991
GET      10.879       99.992
GET      11.007       99.993
GET      11.071       99.993
GET      11.135       99.994
GET      11.135       99.994
GET      11.199       99.995
GET      11.199       99.995
GET      11.263       99.995
GET      11.327       99.995
GET      11.327       99.996
GET      11.455       99.996
GET      11.455       99.996
GET      11.519       99.997
GET      11.519       99.997
GET      11.583       99.997
GET      11.583       99.997
GET      11.647       99.997
GET      11.711       99.998
GET      11.775       99.998
GET      11.839       99.998
